Tue Jul 15 2025 9:5:51 [SERVER-NAME] info: [32mConfig validation successful.[39m
Tue Jul 15 2025 9:5:51 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Tue Jul 15 2025 9:5:51 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Tue Jul 15 2025 9:5:51 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.37:7000[49m
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: OPTIONS /api/v1/users/profile 204 - 1.851 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.384 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: GET /api/v1/users/profile 200 - 22.307 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: GET /api/v1/admin/dashboard/statistics 304 - 42.058 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: GET //image/image-3-1752495501665.png 304 - 2.219 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.122 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.043 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: GET /api/v1/admin/dashboard/revenue 304 - 22.674 ms
Tue Jul 15 2025 9:40:58 [SERVER-NAME] info: GET /api/v1/admin/dashboard/resent-users 304 - 21.325 ms
Tue Jul 15 2025 9:41:5 [SERVER-NAME] info: OPTIONS /api/v1/admin/post/managment?page=1&limit=12 204 - 0.135 ms
Tue Jul 15 2025 9:41:5 [SERVER-NAME] info: GET /api/v1/admin/post/managment?page=1&limit=12 200 - 8.520 ms
Tue Jul 15 2025 9:52:5 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration 204 - 0.777 ms
Tue Jul 15 2025 9:52:5 [SERVER-NAME] info: OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.058 ms
Tue Jul 15 2025 9:52:5 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.078 ms
Tue Jul 15 2025 9:52:5 [SERVER-NAME] info: GET /api/v1/admin/dailyInspiration 200 - 50.367 ms
Tue Jul 15 2025 9:52:5 [SERVER-NAME] info: GET /api/v1/admin/videos/managment/videos? 304 - 52.127 ms
Tue Jul 15 2025 9:57:0 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.071 ms
Tue Jul 15 2025 9:57:34 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/schedule-create 204 - 0.167 ms
Tue Jul 15 2025 9:57:34 [SERVER-NAME] info: POST /api/v1/admin/dailyInspiration/schedule-create 201 - 27.602 ms
Tue Jul 15 2025 9:57:34 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration 204 - 0.116 ms
Tue Jul 15 2025 9:57:34 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.049 ms
Tue Jul 15 2025 9:57:34 [SERVER-NAME] info: GET /api/v1/admin/dailyInspiration 200 - 9.263 ms
Tue Jul 15 2025 9:57:50 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/schedule-create 204 - 0.168 ms
Tue Jul 15 2025 9:57:50 [SERVER-NAME] info: POST /api/v1/admin/dailyInspiration/schedule-create 201 - 10.417 ms
Tue Jul 15 2025 9:57:50 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration 204 - 0.062 ms
Tue Jul 15 2025 9:57:50 [SERVER-NAME] info: OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.048 ms
Tue Jul 15 2025 9:57:50 [SERVER-NAME] info: GET /api/v1/admin/dailyInspiration 200 - 8.201 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: OPTIONS /api/v1/users/profile 204 - 0.247 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.104 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: GET /api/v1/users/profile 304 - 12.701 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: GET /api/v1/admin/dailyInspiration 304 - 14.994 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: GET /api/v1/admin/videos/managment/videos? 304 - 15.466 ms
Tue Jul 15 2025 9:57:54 [SERVER-NAME] info: GET //image/image-3-1752495501665.png 304 - 1.202 ms
