Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.37:7000[49m
Sat Jul 19 2025 9:18:6 [SERVER-NAME] info: Mail send successfully
Sat Jul 19 2025 9:18:7 [SERVER-NAME] info: Mail send successfully
Sat Jul 19 2025 9:18:12 [SERVER-NAME] info: Mail send successfully
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/auth/login 204 - 0.817 ms
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - POST /api/v1/auth/login 200 - 249.534 ms
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.476 ms
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.057 ms
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 200 - 9.357 ms
Sat Jul 19 2025 9:19:13 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dashboard/statistics 200 - 16.870 ms
Sat Jul 19 2025 9:19:14 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.057 ms
Sat Jul 19 2025 9:19:14 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.044 ms
Sat Jul 19 2025 9:19:14 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 200 - 6.602 ms
Sat Jul 19 2025 9:19:14 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dashboard/resent-users 200 - 13.206 ms
Sat Jul 19 2025 9:19:14 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dashboard/revenue 200 - 18.030 ms
Sat Jul 19 2025 9:19:34 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.233 ms
Sat Jul 19 2025 9:19:34 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.160 ms
Sat Jul 19 2025 9:19:34 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.214 ms
