Mon Aug 25 2025 14:45:55 [SERVER-NAME] info: [32mConfig validation successful.[39m
Mon Aug 25 2025 14:45:55 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Mon Aug 25 2025 14:45:55 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Mon Aug 25 2025 14:45:55 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7000[49m
Mon Aug 25 2025 14:51:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/auth/login 204 - 2.389 ms
Mon Aug 25 2025 14:51:24 [SERVER-NAME] info: 10.10.7.48 - POST /api/v1/auth/login 200 - 437.693 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 0.064 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.121 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 200 - 12.978 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.059 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.042 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/resent-users 200 - 16.340 ms
Mon Aug 25 2025 14:51:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/revenue 200 - 44.579 ms
Mon Aug 25 2025 14:52:39 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/managment? 204 - 0.156 ms
Mon Aug 25 2025 14:52:39 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/managment? 200 - 18.526 ms
Mon Aug 25 2025 14:52:39 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/managment?limit=10&page=1 204 - 0.072 ms
Mon Aug 25 2025 14:52:39 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/managment?limit=10&page=1 200 - 6.675 ms
Mon Aug 25 2025 14:52:43 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.097 ms
Mon Aug 25 2025 14:52:43 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 200 - 31.015 ms
Mon Aug 25 2025 14:52:44 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/link---zoanthids-%C3%A2%C2%86%C2%92-coralstashicon2.png-1754911760194.png 200 - 11.197 ms
