Wed Aug 27 2025 12:23:11 [SERVER-NAME] info: [32mConfig validation successful.[39m
Wed Aug 27 2025 12:23:11 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Wed Aug 27 2025 12:23:11 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Wed Aug 27 2025 12:23:11 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7000[49m
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 0.639 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.059 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 304 - 13.588 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/statistics 304 - 19.826 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.083 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.055 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/resent-users 304 - 5.645 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 304 - 0.852 ms
Wed Aug 27 2025 12:25:25 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/revenue 304 - 12.573 ms
Wed Aug 27 2025 12:25:27 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/management? 204 - 0.165 ms
Wed Aug 27 2025 12:25:27 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/management? 304 - 10.551 ms
Wed Aug 27 2025 12:25:27 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/management?limit=10&page=1 204 - 0.082 ms
Wed Aug 27 2025 12:25:27 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/user/management?limit=10&page=1 304 - 8.761 ms
Wed Aug 27 2025 12:25:28 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.080 ms
Wed Aug 27 2025 12:25:28 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 304 - 31.281 ms
Wed Aug 27 2025 12:25:29 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/link---zoanthids-%C3%A2%C2%86%C2%92-coralstashicon2.png-1754911760194.png 304 - 1.738 ms
Wed Aug 27 2025 12:25:29 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/image-11-1754911771507.png 304 - 1.217 ms
Wed Aug 27 2025 12:25:29 [SERVER-NAME] info: 10.10.7.48 - GET //thumbnail/yellow-2708363-1755692741197.jpg 304 - 0.242 ms
Wed Aug 27 2025 12:25:36 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/6899d41b0319393bfdd4f435 204 - 0.061 ms
Wed Aug 27 2025 12:25:36 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/category/6899d41b0319393bfdd4f435 200 - 19.703 ms
Wed Aug 27 2025 12:25:36 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.067 ms
Wed Aug 27 2025 12:25:36 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 200 - 13.472 ms
Wed Aug 27 2025 12:25:43 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.127 ms
Wed Aug 27 2025 12:25:43 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.046 ms
Wed Aug 27 2025 12:25:43 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 12.011 ms
Wed Aug 27 2025 12:25:43 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 21.046 ms
Wed Aug 27 2025 12:25:47 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.060 ms
Wed Aug 27 2025 12:25:47 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 5.152 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.051 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 9.161 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.054 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.055 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 10.584 ms
Wed Aug 27 2025 12:26:2 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 15.728 ms
